date,pH_Song_SG,pH_vao_nha_may,pH_dau_be_tron,pH_dau_be_lang,pH_sau_be_lang,pH_dau_be_chua_moi,pH_dau_be_chua_cu,pH_ra_nha_may,Clo_vao_nha_may,Clo_dau_be_tron,Clo_dau_be_chua_moi,Clo_dau_be_chua_cu,Clo_ra_nha_may,Doduc_vao_nha_may,Doduc_sau_lang,Doduc_sau_loc,Doduc_dau_be_chua_moi,Doduc_dau_be_chua_cu,Doduc_ra_nha_may,Mn_vao_nha_may,Mn_sau_lang,Mn_sau_loc,Mn_ra_nha_may,Fe_vao_nha_may,Fe_ra_nha_may,Mau_vao_nha_may_BK,Mau_vao_nha_may_thuc,Mau_ra_nha_may,Man_ra_nha_may,SS_vao_nha_may,SS_sau_lang,SS_ra_nha_may,Dodan_vao_nha_may,Dodan_ra_nha_may,DO_vao_nha_may,DO_ra_nha_may,NH3_song_sai_gon,NH3_vao_nha_may,NH3_sau_loc,NH3_ra_nha_may,F_dau_be_chua_moi,F_ra_nha_may,Thetich_Jartest_PAC,Nongdo_Jartest_PAC,Man_song_saigon,q_pH,q_DO,q_NH3,q_Doduc,q_TSS,q_Fe,q_Mn,OT
2017-01-23,6.1,7.1,6.9,6.8,6.7,6.6,8.0,7.8,0.05,1.3,0.05,0.4,1.0,15.0,2.9,0.53,0.54,0.37,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.672,36.0,100.0,40,100,60,100,100,100,85.71428571428571
2017-01-24,6.14,7.3,6.9,6.7,6.6,6.5,8.1,8.0,0.05,1.4,0.05,0.3,0.9,16.0,2.4,0.5,0.58,0.53,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.4,0.0,0.0,0.0,0.0,0.0,18.0,24.08,39.0,100.0,40,100,60,100,100,100,85.71428571428571
2017-01-25,6.15,7.1,6.8,6.7,6.6,6.5,7.9,7.5,0.05,1.1,0.3,0.3,1.0,21.0,3.1,0.54,0.6,0.54,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.08,40.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-26,6.2,7.1,6.8,6.7,6.6,6.5,7.8,7.4,0.05,1.0,0.3,0.3,0.9,18.0,2.3,0.5,0.56,0.49,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.672,41.0,100.0,40,100,60,100,100,100,85.71428571428571
2017-01-27,6.21,7.3,7.1,6.9,6.8,6.7,8.5,7.7,0.05,0.7,0.4,0.3,0.9,22.0,3.6,0.36,0.32,0.35,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.672,41.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-28,6.08,7.2,6.571450580509323,6.403395495395184,6.307288194831876,6.269051263116011,8.193665213162419,7.5,0.05,1.4,0.1,0.5,1.0,30.0,2.0,0.24,0.25,0.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.264,38.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-29,6.13,7.3,7.0,6.8,6.7,6.6,8.5,7.9,0.07,1.6,0.6,0.3,0.9,31.0,1.9,0.72,0.56,0.56,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.3,0.0,0.0,0.0,0.0,0.0,18.0,21.672,36.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-30,6.03,7.4,7.2,7.1,6.9,6.8,8.0,7.5,0.05,0.6,0.05,0.3,0.9,40.0,3.4,0.74,0.53,0.43,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.7,33.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-01-31,5.97,7.1,6.8,6.7,6.6,6.6,8.4,8.1,0.04,1.1,0.05,0.4,1.0,38.0,2.9,0.39,0.34,0.44,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.27054160855417,182.25891364902503,2.844418063314711,7.076883720930232,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.672,33.0,100.0,40,100,40,100,100,100,82.85714285714286
2017-02-01,6.0200000000000005,7.274999999999998,7.054166666666667,6.800000000000002,6.845833333333334,6.754166666666666,8.191666666666668,7.862500000000001,0.05,1.175,0.0458333333333333,0.5499999999999999,0.95,26.375,2.7916666666666665,0.5712500000000001,0.5758333333333333,0.4825,0.3620833333333333,93.33333333333331,35.333333333333336,25.166666666666668,10.5,0.88,0.01,151.25,3.75,0.0,17.0,19.25,2.25,0.0,160.0,112.0,2.844418063314711,7.076883720930232,0.3199999999999999,0.1275,0.0,0.0,0.47,0.4816666666666666,18.25,21.97300000000001,37.583333333333336,100.0,40,80,40,100,60,40,65.71428571428571
2017-02-02,5.932083333333334,7.199999999999998,6.919047619047621,6.814285714285714,6.709523809523811,6.633333333333331,8.161904761904761,7.747619047619047,0.0504761904761904,1.0666666666666669,0.0538095238095238,0.5380952380952382,0.9952380952380954,33.61904761904762,3.0571428571428574,0.7247619047619047,0.7,0.5080952380952383,0.3966666666666666,110.66666666666669,36.833333333333336,27.0,12.333333333333334,0.78,0.02,255.0,6.5,0.0,8.0,29.75,1.75,0.0,128.0,96.0,2.844418063314711,7.076883720930232,0.3033333333333333,0.1418181818181818,0.0,0.0,0.6060000000000001,0.428,20.761904761904763,24.997333333333327,32.708333333333336,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-03,5.891666666666667,7.212499999999999,6.874999999999997,6.733333333333333,6.624999999999999,6.525000000000001,8.291666666666668,7.774999999999999,0.05,1.2375,0.0425,0.5166666666666667,1.0333333333333334,45.04166666666666,2.629166666666667,0.3925000000000001,0.4454166666666667,0.3999999999999999,0.33875,114.66666666666669,28.33333333333333,21.83333333333333,9.666666666666666,0.98,0.02,295.0,10.5,0.0,20.0,35.75,2.25,0.0,156.0,124.0,2.844418063314711,7.076883720930232,0.3458333333333332,0.1841666666666666,0.0003372434017595,0.0,0.6316666666666667,0.5483333333333333,21.33333333333333,25.685333333333336,30.541666666666668,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-04,5.821249999999999,7.141666666666667,6.833333333333335,6.720833333333336,6.579166666666663,6.508333333333332,8.25,7.662499999999999,0.05,1.2833333333333337,0.05,0.4666666666666668,1.008333333333333,44.875,3.391666666666667,0.3958333333333333,0.3916666666666666,0.3704166666666666,0.2833333333333334,122.5,40.5,29.666666666666668,8.166666666666666,0.85,0.01,257.0,9.0,0.0,25.0,33.5,2.6666666666666665,0.0,145.0,110.0,2.844418063314711,7.076883720930232,0.3575,0.2281818181818181,0.0003372434017595,0.0,0.434,0.41,21.916666666666668,26.387666666666675,29.375,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-05,5.7804166666666665,7.0925,6.787499999999998,6.674999999999998,6.591666666666668,6.483333333333335,8.179166666666665,7.75,0.05,1.1625,0.05,0.4250000000000001,0.9499999999999998,41.66666666666666,4.154166666666666,0.2933333333333334,0.31375,0.3,0.2233333333333334,109.66666666666669,37.833333333333336,24.666666666666668,12.166666666666666,1.02,0.0,280.0,9.25,0.0,21.0,38.5,4.666666666666667,0.0,143.0,118.0,2.844418063314711,7.076883720930232,0.4199999999999999,0.205,0.0,0.0,0.415,0.4749999999999999,21.666666666666668,26.086666666666677,29.08333333333333,100.0,40,80,40,70,40,40,58.57142857142857
2017-02-06,5.777916666666669,7.225000000000001,6.983333333333332,6.866666666666667,6.766666666666667,6.679166666666667,8.174999999999999,7.758333333333333,0.05,0.8833333333333332,0.05,0.4583333333333335,1.0083333333333335,34.708333333333336,3.2625,0.2841666666666667,0.3370833333333333,0.2783333333333334,0.2337499999999999,93.33333333333331,29.33333333333333,22.0,7.333333333333333,0.7,0.01,214.0,9.0,0.0,15.0,32.333333333333336,4.0,0.0,118.0,99.0,3.5,7.2,0.3763636363636363,0.1849999999999999,0.0003372434017595,0.0,0.5099999999999999,0.4983333333333333,22.0,26.48800000000001,28.916666666666668,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-07,5.799565217391304,7.304347826086958,7.04782608695652,6.96086956521739,6.860869565217392,6.758333333333336,8.199999999999998,7.795833333333334,0.05,1.1217391304347826,0.5375000000000002,0.3666666666666667,0.9541666666666666,34.869565217391305,3.3652173913043475,0.3521739130434782,0.2658333333333333,0.265,0.24125,96.66666666666669,36.16666666666666,26.0,9.5,0.7,0.01,217.75,13.0,0.0,20.0,28.0,3.6666666666666665,0.0,193.0,80.0,2.844418063314711,7.076883720930232,0.4081818181818181,0.1799999999999999,0.0,0.0,0.51,0.4566666666666666,22.0,26.48800000000001,29.30434782608696,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-08,5.820416666666667,7.266666666666668,6.866666666666668,6.866666666666668,6.766666666666667,6.674999999999997,8.2125,7.6625,0.05,1.0791666666666666,0.4083333333333334,0.3875000000000001,0.9625,32.833333333333336,3.445833333333333,0.2541666666666667,0.2866666666666667,0.2625,0.2416666666666666,87.0,32.666666666666664,26.166666666666668,10.833333333333334,0.79,0.01,183.5,7.25,0.0,17.0,22.25,2.5,0.0,155.0,135.0,2.844418063314711,7.076883720930232,0.4608333333333334,0.1725,0.0,0.0,0.4133333333333334,0.655,22.0,26.490500000000008,29.25,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-09,5.791666666666668,7.208333333333331,6.954166666666667,6.850000000000001,6.499999999999999,6.666666666666664,8.220833333333333,7.799999999999998,0.05,1.0041666666666669,0.4458333333333333,0.3583333333333334,0.975,30.666666666666668,2.8833333333333333,0.2529166666666667,0.2141666666666667,0.3454166666666665,0.2329166666666667,92.66666666666669,36.0,26.166666666666668,12.833333333333334,0.8,0.01,210.0,7.25,0.0,19.0,25.25,2.0,0.0,142.0,128.0,2.844418063314711,7.076883720930232,0.4433333333333334,0.1866666666666666,0.0,0.0,0.515,0.4583333333333333,20.58333333333333,24.78233333333333,30.541666666666668,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-10,5.880416666666666,7.241666666666664,6.979166666666668,6.879166666666666,6.783333333333332,6.6875,8.124999999999998,7.804166666666667,0.05,1.15,0.4666666666666666,0.2666666666666666,0.9233333333333332,29.416666666666668,2.933333333333334,0.22375,0.2220833333333333,0.2608333333333333,0.2454166666666666,93.66666666666669,30.666666666666668,25.83333333333333,10.0,0.86,0.01,204.75,6.666666666666667,0.0,15.0,28.0,3.0,0.0,162.0,104.0,2.7,7.56,0.4808333333333333,0.2033333333333333,0.0003372434017595,0.0,0.58,0.51,20.0,24.079999999999995,32.75,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-11,5.8950000000000005,7.204166666666667,6.870833333333334,6.7375,6.650000000000001,6.5625,8.225000000000001,7.754166666666664,0.05,1.0875,0.4250000000000002,0.4416666666666669,1.0,27.0,3.454166666666667,0.2624999999999999,0.2725,0.3308333333333333,0.2654166666666666,84.16666666666667,34.833333333333336,24.666666666666668,13.5,0.78,0.01,168.25,5.5,0.0,20.0,19.5,2.333333333333333,0.0,145.0,102.0,2.5,7.4,0.4833333333333333,0.225,0.0,0.0,0.5316666666666667,0.4566666666666666,20.25,24.381,35.666666666666664,100.0,40,80,40,100,60,40,65.71428571428571
2017-02-12,5.9525,7.275000000000002,6.958333333333336,6.8124999999999964,6.720833333333332,6.6291666666666655,8.270833333333332,7.779166666666668,0.05,0.9416666666666668,0.6333333333333336,0.3124999999999999,0.975,32.041666666666664,3.1291666666666664,0.3045833333333332,0.2704166666666667,0.3579166666666666,0.2795833333333333,94.83333333333331,33.666666666666664,26.83333333333333,10.333333333333334,0.81,0.02,173.75,6.5,0.0,20.0,23.0,2.25,0.0,156.0,117.0,2.844418063314711,7.076883720930232,0.4016666666666665,0.2308333333333333,0.0,0.0,0.5133333333333334,0.505,22.0,26.48800000000001,37.458333333333336,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-13,5.986666666666667,7.279166666666666,6.9875,6.883333333333336,6.787500000000001,6.6791666666666645,8.308333333333335,7.866666666666667,0.04875,1.0708333333333335,0.5041666666666668,0.325,0.9645833333333332,27.125,2.9625,0.3079166666666666,0.2749999999999999,0.3454166666666666,0.2858333333333333,97.2,40.2,30.0,12.8,0.7,0.02,166.5,9.75,0.0,25.0,21.0,2.333333333333333,0.0,145.0,110.0,3.0,7.9,0.3583333333333332,0.2153846153846154,0.0,0.0,0.5666666666666667,0.4883333333333333,20.0,24.079999999999995,38.29166666666666,100.0,40,80,40,70,60,40,61.42857142857143
2017-02-14,5.969166666666666,7.195833333333333,6.937500000000001,6.829166666666667,6.729166666666665,6.633333333333333,8.166666666666666,7.737500000000002,0.0529166666666666,1.0333333333333332,0.5416666666666666,0.4083333333333335,0.9875,23.541666666666668,3.004166666666667,0.2858333333333332,0.2679166666666666,0.3329166666666666,0.2758333333333332,95.16666666666669,38.833333333333336,30.166666666666668,13.666666666666666,0.7,0.01,159.75,6.0,0.0,16.0,18.75,2.5,0.0,143.0,102.0,2.82,7.03,0.3249999999999999,0.1516666666666667,0.0,0.0,0.48,0.4983333333333333,20.0,24.079999999999995,37.0,100.0,40,80,40,100,60,40,65.71428571428571
2017-02-15,5.901666666666667,7.150000000000001,6.845833333333334,6.745833333333333,6.645833333333333,6.570833333333333,8.183333333333335,7.804166666666666,0.05,1.1249999999999998,0.4791666666666668,0.4083333333333334,0.9625,19.166666666666668,2.9125,0.2741666666666667,0.2375,0.3662499999999999,0.2291666666666666,77.5,31.33333333333333,17.833333333333332,8.666666666666666,0.59,0.02,109.25,2.75,0.0,27.0,11.5,2.333333333333333,0.0,145.0,103.0,3.1,7.8,0.2816666666666667,0.1583333333333333,0.0,0.0,0.4366666666666666,0.4133333333333333,20.0,24.079999999999995,35.75,100.0,40,80,60,100,60,40,68.57142857142857
2017-02-16,5.919416666666667,7.199999999999999,6.933333333333336,6.824999999999998,6.729166666666664,6.604166666666668,8.220833333333333,7.766666666666666,0.05,1.0708333333333329,0.4166666666666668,0.4041666666666668,0.975,21.5,3.0875,0.2691666666666666,0.1908333333333333,0.36125,0.2254166666666666,80.83333333333333,34.666666666666664,26.83333333333333,11.666666666666666,0.56,0.02,145.25,4.25,0.0,16.0,16.75,2.5,0.0,143.0,108.0,2.79,7.76,0.285,0.1233333333333333,0.0003372434017595,0.0,0.5449999999999999,0.5466666666666666,20.0,24.079999999999995,34.5,100.0,40,80,40,100,60,40,65.71428571428571
2017-02-17,5.920416666666667,7.204166666666666,6.945833333333336,6.854166666666667,6.758333333333333,6.666666666666665,8.245833333333332,7.829166666666665,0.06875,1.0541666666666667,0.3916666666666668,0.3958333333333335,0.9625,19.291666666666668,2.7416666666666667,0.2541666666666667,0.195,0.3195833333333333,0.2391666666666666,83.83333333333333,32.0,24.5,8.166666666666666,0.59,0.01,136.0,4.75,0.0,16.0,15.25,2.25,0.0,155.0,106.0,2.75,7.15,0.2508333333333334,0.1083333333333333,0.0,0.0,0.515,0.605,20.0,24.079999999999995,34.875,100.0,40,80,60,100,60,40,68.57142857142857
2017-02-18,5.92125,7.395833333333335,7.129166666666669,7.008333333333332,6.9083333333333306,6.791666666666669,7.979166666666665,7.829166666666665,0.0520833333333333,1.0958333333333334,0.5291666666666667,0.4083333333333334,0.9625,16.166666666666668,2.858333333333333,0.265,0.23375,0.3129166666666665,0.235,71.83333333333333,25.33333333333333,17.0,7.0,0.69,0.01,115.5,2.0,0.0,25.0,12.5,2.0,0.0,151.0,121.0,3.29,6.97,0.2816666666666667,0.0983333333333333,0.0,0.0,0.5466666666666667,0.485,18.666666666666668,22.47466666666668,34.791666666666664,100.0,40,100,60,100,60,40,71.42857142857143
